assetId,assetType,path,sourceType,sourceURL,creator,license,commercialUse,modificationAllowed,redistributionAllowed,attributionRequired,generatedBy,variantOf,notes
icon_001,ui_icon,assets/icons/icon_001.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_002,ui_icon,assets/icons/icon_002.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_003,ui_icon,assets/icons/icon_003.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_004,ui_icon,assets/icons/icon_004.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_005,ui_icon,assets/icons/icon_005.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_006,ui_icon,assets/icons/icon_006.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_007,ui_icon,assets/icons/icon_007.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_008,ui_icon,assets/icons/icon_008.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_009,ui_icon,assets/icons/icon_009.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_010,ui_icon,assets/icons/icon_010.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_011,ui_icon,assets/icons/icon_011.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_012,ui_icon,assets/icons/icon_012.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_013,ui_icon,assets/icons/icon_013.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_014,ui_icon,assets/icons/icon_014.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_015,ui_icon,assets/icons/icon_015.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_016,ui_icon,assets/icons/icon_016.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_017,ui_icon,assets/icons/icon_017.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_018,ui_icon,assets/icons/icon_018.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_019,ui_icon,assets/icons/icon_019.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_020,ui_icon,assets/icons/icon_020.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_021,ui_icon,assets/icons/icon_021.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_022,ui_icon,assets/icons/icon_022.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_023,ui_icon,assets/icons/icon_023.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_024,ui_icon,assets/icons/icon_024.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_025,ui_icon,assets/icons/icon_025.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_026,ui_icon,assets/icons/icon_026.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_027,ui_icon,assets/icons/icon_027.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_028,ui_icon,assets/icons/icon_028.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_029,ui_icon,assets/icons/icon_029.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_030,ui_icon,assets/icons/icon_030.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_031,ui_icon,assets/icons/icon_031.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_032,ui_icon,assets/icons/icon_032.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_033,ui_icon,assets/icons/icon_033.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_034,ui_icon,assets/icons/icon_034.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_035,ui_icon,assets/icons/icon_035.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_036,ui_icon,assets/icons/icon_036.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_037,ui_icon,assets/icons/icon_037.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_038,ui_icon,assets/icons/icon_038.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_039,ui_icon,assets/icons/icon_039.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_040,ui_icon,assets/icons/icon_040.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_041,ui_icon,assets/icons/icon_041.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_042,ui_icon,assets/icons/icon_042.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_043,ui_icon,assets/icons/icon_043.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_044,ui_icon,assets/icons/icon_044.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
icon_045,ui_icon,assets/icons/icon_045.svg,PROCEDURAL_ORIGINAL,,Manus AI,CC0-like original,True,True,True,False,tools_build.py,,Original SVG icon
